,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_samples,param_n_estimators,param_oob_score,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,1.5875229358673095,0.06530466895709232,0.028491973876953125,0.005289711419444774,squared_error,4,0.9,100,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 100, 'oob_score': True}",-133385.24277162974,-148810.16714486247,-145297.27890279182,-140993.95189745576,-154021.95965173372,-144501.72007369468,7010.151165623024,94,0.9150686001147047,0.907258188819426,0.9389985658550023,0.9021388191050653,0.9037101941155441,0.9134348736019484,0.013538782051128673,86
1,3.2325772762298586,0.1490313864824375,0.05625085830688477,0.004462581380811642,squared_error,4,0.9,200,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 200, 'oob_score': True}",-134492.2150489733,-148118.91065274773,-144232.4708490864,-142556.1217935885,-152396.74452532292,-144359.2925739438,5989.358721365723,93,0.9122239598919841,0.9083642986163298,0.9390856988013618,0.8992684502385234,0.9044522621661049,0.9126789339428608,0.013882791588055022,88
2,4.995087289810181,0.26167083380448186,0.09178824424743652,0.014011911172076843,squared_error,4,0.9,300,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 300, 'oob_score': True}",-136116.32472293172,-147729.457762852,-143763.86725887924,-142083.79285651556,-154266.1714550014,-144791.922811236,6034.026304484108,97,0.9108517361141181,0.9082566604865594,0.940214348211079,0.9000950740499976,0.9021190700879478,0.9123073777899403,0.014493227231460272,91
3,7.0729756355285645,0.7284306897676017,0.12771716117858886,0.024690571323725957,squared_error,4,0.9,350,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 350, 'oob_score': True}",-134987.07110214196,-149814.2389407588,-145469.19846804233,-141503.98278118914,-153307.641071659,-145016.42647275823,6401.460400867811,98,0.9130709741984603,0.9062054383627497,0.9391753318676517,0.8998919894687246,0.9039811705363143,0.9124649808867801,0.014021748117024927,90
4,9.599456024169921,0.5241250040494133,0.1388615608215332,0.009143474185884981,squared_error,4,0.9,400,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 400, 'oob_score': True}",-133548.84790798754,-148163.23645944888,-143852.07692345805,-142205.89153245822,-153310.97348190303,-144216.20526105113,6576.630260303677,92,0.9151455260107082,0.9085241746648689,0.9397177269600335,0.9012331736470314,0.9045740868076732,0.913838937618063,0.013743422878705782,85
5,10.207211685180663,0.5221538866414681,0.17361769676208497,0.04097809242821507,squared_error,4,0.9,450,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 450, 'oob_score': True}",-134948.54957197342,-148599.40681742446,-144353.99407170244,-142446.329270466,-153001.3185315101,-144669.91965261527,6072.9280592266305,95,0.9115691404025811,0.9071512594338826,0.939661960119434,0.9008961502352377,0.9036074620816654,0.9125771944545603,0.014006743860273728,89
6,13.016420125961304,0.6502767956670922,0.21867156028747559,0.035531178550335954,squared_error,4,0.9,500,True,"{'criterion': 'squared_error', 'max_depth': 4, 'max_samples': 0.9, 'n_estimators': 500, 'oob_score': True}",-134471.67381002952,-149203.0294118604,-144156.06082617625,-142524.61359505513,-153240.4254410675,-144719.16061683776,6369.6332302009305,96,0.9116984875573004,0.9075157879760539,0.9397645689096343,0.9006942148834839,0.9038322592108544,0.9127010637074655,0.014022451062895694,87
7,3.2378908157348634,0.11021540610498173,0.05036487579345703,0.01278188784556556,squared_error,5,0.9,100,True,"{'criterion': 'squared_error', 'max_depth': 5, 'max_samples': 0.9, 'n_estimators': 100, 'oob_score': True}",-110948.6681250724,-121108.82971920252,-118826.17881912505,-118394.25933814784,-128095.22425567333,-119474.63205144422,5500.272168481417,83,0.9354632698247607,0.9335398802628992,0.9565955894403059,0.9216834719728131,0.9286774741085383,0.9351919371218635,0.011711841058559219,75
8,6.381445360183716,0.2456744947036935,0.09502706527709961,0.015660354401141663,squared_error,5,0.9,200,True,"{'criterion': 'squared_error', 'max_depth': 5, 'max_samples': 0.9, 'n_estimators': 200, 'oob_score': True}",-111174.50653174183,-121758.94866546523,-116993.390426895,-117032.03159879158,-127899.11431523622,-118971.59830762597,5584.616901497339,79,0.9336538606905934,0.9329587567968403,0.9575618955745673,0.9223510863068202,0.9280410587397152,0.9349133316217074,0.012028318426239647,77
9,9.538714742660522,0.6144297405046772,0.15136656761169434,0.022087494506869105,squared_error,5,0.9,300,True,"{'criterion': 'squared_error', 'max_depth': 5, 'max_samples': 0.9, 'n_estimators': 300, 'oob_score': True}",-110244.42859717835,-122842.31997531033,-117966.95708990346,-116784.14914200958,-128461.12629523939,-119259.79621992823,6108.617952639694,82,0.9371271602712103,0.9327922021612683,0.9562361978503602,0.9248031993263696,0.9284068163376045,0.9358731151893626,0.01099098217058073,71
