,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_learning_rate,param_max_depth,param_n_estimators,param_n_jobs,param_objective,params,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2
0,5.498080015182495,0.10550282290122628,0.0315300464630127,0.0023130374020791347,gbtree,0.01,8,250,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-91152.17766635572,-88917.85811342952,-95186.44158369633,-92285.08213577318,-95794.15440747511,-92667.14278134599,2554.341141002002,144,0.9444486717101381,0.9493328196658555,0.9688687776510756,0.9149456654537853,0.9523068675120201,0.9459805603985749,0.017553584705548058,144
1,7.868291282653809,1.2254293355128725,0.06361737251281738,0.015991107864357097,gbtree,0.01,8,300,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-78411.53990059468,-79031.18168073273,-81511.67467281815,-82894.33933571873,-85160.35990490821,-81401.8190989545,2487.0868640678987,138,0.9537232329671292,0.9584239720830701,0.9767907393918832,0.9247355920550052,0.9621635305139946,0.9551674134022164,0.017060483366989496,138
2,11.4823823928833,0.3475302536453929,0.0619140625,0.0020212297665530366,gbtree,0.01,8,350,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-71581.79325783193,-74026.59951092875,-74317.72347298927,-78184.89781522246,-79128.15555479932,-75447.83392235434,2802.8418924944776,132,0.9577743275677639,0.9625331782542245,0.9795935505552491,0.9289904102925622,0.9665605246009984,0.9590903982541598,0.016707938792012312,125
3,13.986925506591797,0.2765643108183299,0.07093658447265624,0.005376688976693503,gbtree,0.01,8,400,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-68279.30068650887,-71414.62550803127,-70114.07652069072,-75476.44642093185,-75754.4623765168,-72207.78230253591,2956.645872441458,126,0.9594597804343129,0.9643933696429134,0.9808873703886216,0.931300684065629,0.9684360155014282,0.960895444006581,0.01641148237391405,67
4,17.19192280769348,0.32552350607508096,0.0868527889251709,0.00506310122302252,gbtree,0.01,8,500,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-65162.27978029773,-69538.88510714841,-66829.5589705196,-72626.88573914903,-72550.5332383712,-69341.6285670972,2996.876505904331,122,0.9608240639835092,0.9654061087959838,0.9812748649072539,0.9338092875845538,0.9699652206016289,0.9622559091745858,0.01576285746958758,22
5,23.21644287109375,0.47039911889501757,0.11392021179199219,0.009383595461303842,gbtree,0.01,8,700,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 700, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-63155.38358986318,-68188.96104931549,-65284.5884047332,-70654.20284546126,-70977.29067410159,-67652.08531269494,3039.187520570879,98,0.9613034111189342,0.9662100640583297,0.9811216425996844,0.9348502818392161,0.9703579988020812,0.9627686796836491,0.015413345445164331,10
6,9.8674467086792,0.18079451454585896,0.056000900268554685,0.003318725362711115,gbtree,0.01,9,250,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 250, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-90139.08688248212,-87241.74315008556,-95598.12991015868,-90123.60772450607,-94253.336022577,-91471.18073796188,3041.4031917439042,143,0.9439505813681269,0.9493169096334506,0.9677278797895393,0.9175283408405437,0.9531009375066442,0.946324929827661,0.016418486886402274,143
7,12.741947412490845,0.38918385320001775,0.06815648078918457,0.005419178770019746,gbtree,0.01,9,300,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-77142.53805192786,-77655.88220237632,-81736.12876769602,-80107.59446707762,-82963.09503344742,-79921.04770450506,2255.413999850356,137,0.9524304699415279,0.957666206868412,0.9756264445852828,0.9278197538527055,0.9625038948028969,0.9552093540101649,0.015709974107864712,137
8,14.668245029449462,0.10110038846636706,0.08473782539367676,0.012046599365827042,gbtree,0.01,9,350,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 350, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-70303.93958916355,-72781.96749329107,-74501.14457743466,-75049.30901913503,-77140.85051240666,-73955.4422382862,2295.721064228966,131,0.9563129593586439,0.961598163031108,0.9783743558196069,0.9318759789879465,0.966669041708342,0.9589660997811293,0.015387379714764055,132
9,16.28913507461548,0.3566062896478821,0.08256921768188477,0.002292552056365333,gbtree,0.01,9,400,-1,reg:squarederror,"{'booster': 'gbtree', 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 400, 'n_jobs': -1, 'objective': 'reg:squarederror'}",-67027.03214882618,-70125.33934787259,-70343.42628198896,-72146.15109676415,-73859.07745896858,-70700.20526688409,2281.1924817077215,125,0.9581105490026649,0.9636690858810869,0.9796639185176621,0.9336577805814495,0.9686214827560484,0.9607445633477824,0.015291648201923616,73
